mm,N,N,V,V,C,V,V,%,%,%,%,%,mm,%,%,C,%,%
,,,,,,,,,,,,,,,,,,
Movers,,,,,,,,,,,,,,,,,,
Axial,Temp,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Workspace Unsecure,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
****Waveform Information is written at start of Data Acquisition, not start of waveform.****,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Axial,Block,Step:1,Ramp to Level,Control Channel Load,Level: 0.140400,Rate: 0.100000,Channel: Load,,,,,,,,,,,
Axial,Block,Step:2,Dwell,Control Channel Disp,Time: 10.000000,,,,,,,,,,,,,
Axial,Block,Step:3,Triangle Wave,Control Channel Disp,Level1: 0.000000,Level2: 0.464000,Cycles: 20,Frequency: 0.167000,,,,,,,,,,
Axial,Block,Step:4,Dwell,Control Channel Disp,Time: 10.000000,,,,,,,,,,,,,
Axial,Block,Step:5,Ramp,Control Channel Disp,Level: 1.160000,Rate: 0.116000,,,,,,,,,,,,
Temp,Sine Wave,Control Channel Temperature,Level1: 2.0,Level2: 2.0,Frequency: 1.0,Cycles: 1000000,Start Frequency: 1.0,Done Frequency: 1.0,Done Level: 0.0,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
243,35.4288,35.4288,-1.099919,0.03,,,,,,,,,,,,,,
244,35.5752,35.5752,-1.095121,0.04,,,,,,,,,,,,,,
245,35.7216,35.7216,-1.072408,0.03,,,,,,,,,,,,,,
246,35.868,35.868,-1.049514,0.04,,,,,,,,,,,,,,
247,36.0144,36.0144,-1.027001,0.04,,,,,,,,,,,,,,
248,36.1608,36.1608,-1.00422,0.05,,,,,,,,,,,,,,
249,36.3072,36.3072,-0.981508,0.06,,,,,,,,,,,,,,
250,36.4536,36.4536,-0.95868,0.05,,,,,,,,,,,,,,
251,36.6,36.6,-0.936096,0.07,,,,,,,,,,,,,,
252,36.7464,36.7464,-0.913355,0.08,,,,,,,,,,,,,,
253,36.8928,36.8928,-0.890727,0.09,,,,,,,,,,,,,,
254,37.0392,37.0392,-0.868068,0.1,,,,,,,,,,,,,,
255,37.1856,37.1856,-0.845375,0.12,,,,,,,,,,,,,,
256,37.332,37.332,-0.822745,0.14,,,,,,,,,,,,,,
257,37.4784,37.4784,-0.800137,0.16,,,,,,,,,,,,,,
258,37.6248,37.6248,-0.777312,0.19,,,,,,,,,,,,,,
259,37.7712,37.7712,-0.754683,0.22,,,,,,,,,,,,,,
260,37.9176,37.9176,-0.732092,0.23,,,,,,,,,,,,,,
261,38.064,38.064,-0.709205,0.27,,,,,,,,,,,,,,
262,38.2104,38.2104,-0.686766,0.31,,,,,,,,,,,,,,
263,38.3568,38.3568,-0.663941,0.34,,,,,,,,,,,,,,
264,38.5032,38.5032,-0.648211,0.37,,,,,,,,,,,,,,
265,38.6496,38.6496,-0.670486,0.3,,,,,,,,,,,,,,
266,38.796,38.796,-0.693492,0.24,,,,,,,,,,,,,,
267,38.9424,38.9424,-0.716134,0.21,,,,,,,,,,,,,,
268,39.0888,39.0888,-0.738935,0.17,,,,,,,,,,,,,,
269,39.2352,39.2352,-0.761641,0.14,,,,,,,,,,,,,,
270,39.3816,39.3816,-0.7845,0.12,,,,,,,,,,,,,,
271,39.528,39.528,-0.807204,0.1,,,,,,,,,,,,,,
272,39.6744,39.6744,-0.82991,0.09,,,,,,,,,,,,,,
273,39.8208,39.8208,-0.852555,0.08,,,,,,,,,,,,,,
274,39.9672,39.9672,-0.875188,0.07,,,,,,,,,,,,,,
275,40.1136,40.1136,-0.897852,0.06,,,,,,,,,,,,,,
276,40.26,40.26,-0.920456,0.04,,,,,,,,,,,,,,
277,40.4064,40.4064,-0.943288,0.05,,,,,,,,,,,,,,
278,40.5528,40.5528,-0.965956,0.04,,,,,,,,,,,,,,
279,40.6992,40.6992,-0.988773,0.05,,,,,,,,,,,,,,
280,40.8456,40.8456,-1.011323,0.03,,,,,,,,,,,,,,
281,40.992,40.992,-1.034077,0.03,,,,,,,,,,,,,,
282,41.1384,41.1384,-1.05674,0.03,,,,,,,,,,,,,,
283,41.2848,41.2848,-1.079581,0.01,,,,,,,,,,,,,,
284,41.4312,41.4312,-1.102188,0.03,,,,,,,,,,,,,,
285,41.5776,41.5776,-1.092802,0.01,,,,,,,,,,,,,,
286,41.724,41.724,-1.070022,0.04,,,,,,,,,,,,,,
287,41.8704,41.8704,-1.047327,0.05,,,,,,,,,,,,,,
288,42.0168,42.0168,-1.024773,0.03,,,,,,,,,,,,,,
289,42.1632,42.1632,-1.001964,0.05,,,,,,,,,,,,,,
290,42.3096,42.3096,-0.97924,0.05,,,,,,,,,,,,,,
291,42.456,42.456,-0.956421,0.05,,,,,,,,,,,,,,
292,42.6024,42.6024,-0.93391,0.07,,,,,,,,,,,,,,
293,42.7488,42.7488,-0.911106,0.08,,,,,,,,,,,,,,
294,42.8952,42.8952,-0.888451,0.08,,,,,,,,,,,,,,
295,43.0416,43.0416,-0.86577,0.09,,,,,,,,,,,,,,
296,43.188,43.188,-0.843234,0.1,,,,,,,,,,,,,,
297,43.3344,43.3344,-0.820535,0.13,,,,,,,,,,,,,,
298,43.4808,43.4808,-0.797906,0.15,,,,,,,,,,,,,,
299,43.6272,43.6272,-0.775057,0.18,,,,,,,,,,,,,,
300,43.7736,43.7736,-0.752433,0.21,,,,,,,,,,,,,,
301,43.92,43.92,-0.729784,0.23,,,,,,,,,,,,,,
302,44.0664,44.0664,-0.707167,0.26,,,,,,,,,,,,,,
303,44.2128,44.2128,-0.684568,0.31,,,,,,,,,,,,,,
304,44.3592,44.3592,-0.661728,0.35,,,,,,,,,,,,,,
305,44.5056,44.5056,-0.650141,0.35,,,,,,,,,,,,,,
306,44.652,44.652,-0.672773,0.29,,,,,,,,,,,,,,
307,44.7984,44.7984,-0.695735,0.23,,,,,,,,,,,,,,
308,44.9448,44.9448,-0.71836,0.21,,,,,,,,,,,,,,
309,45.0912,45.0912,-0.741152,0.16,,,,,,,,,,,,,,
310,45.2376,45.2376,-0.763913,0.12,,,,,,,,,,,,,,
311,45.384,45.384,-0.786791,0.1,,,,,,,,,,,,,,
312,45.5304,45.5304,-0.809355,0.1,,,,,,,,,,,,,,
313,45.6768,45.6768,-0.832174,0.08,,,,,,,,,,,,,,
314,45.8232,45.8232,-0.854789,0.08,,,,,,,,,,,,,,
315,45.9696,45.9696,-0.877314,0.06,,,,,,,,,,,,,,
316,46.116,46.116,-0.900101,0.05,,,,,,,,,,,,,,
317,46.2624,46.2624,-0.922667,0.05,,,,,,,,,,,,,,
318,46.4088,46.4088,-0.945429,0.05,,,,,,,,,,,,,,
319,46.5552,46.5552,-0.968166,0.05,,,,,,,,,,,,,,
320,46.7016,46.7016,-0.990935,0.03,,,,,,,,,,,,,,
321,46.848,46.848,-1.013549,0.03,,,,,,,,,,,,,,
322,46.9944,46.9944,-1.036307,0.03,,,,,,,,,,,,,,
323,47.1408,47.1408,-1.058882,0.03,,,,,,,,,,,,,,
324,47.2872,47.2872,-1.081766,0.03,,,,,,,,,,,,,,
325,47.4336,47.4336,-1.10441,0.01,,,,,,,,,,,,,,
326,47.58,47.58,-1.090532,0.03,,,,,,,,,,,,,,
327,47.7264,47.7264,-1.067602,0.04,,,,,,,,,,,,,,
328,47.8728,47.8728,-1.045141,0.03,,,,,,,,,,,,,,
329,48.0192,48.0192,-1.02234,0.04,,,,,,,,,,,,,,
330,48.1656,48.1656,-0.999634,0.05,,,,,,,,,,,,,,
331,48.312,48.312,-0.97706,0.05,,,,,,,,,,,,,,
332,48.4584,48.4584,-0.954189,0.07,,,,,,,,,,,,,,
333,48.6048,48.6048,-0.931717,0.05,,,,,,,,,,,,,,
334,48.7512,48.7512,-0.908889,0.07,,,,,,,,,,,,,,
335,48.8976,48.8976,-0.886221,0.09,,,,,,,,,,,,,,
336,49.044,49.044,-0.863581,0.09,,,,,,,,,,,,,,
337,49.1904,49.1904,-0.841066,0.12,,,,,,,,,,,,,,
338,49.3368,49.3368,-0.818341,0.12,,,,,,,,,,,,,,
339,49.4832,49.4832,-0.795632,0.14,,,,,,,,,,,,,,
340,49.6296,49.6296,-0.77289,0.18,,,,,,,,,,,,,,
341,49.776,49.776,-0.750191,0.21,,,,,,,,,,,,,,
342,49.9224,49.9224,-0.727542,0.23,,,,,,,,,,,,,,
343,50.0688,50.0688,-0.704925,0.25,,,,,,,,,,,,,,
344,50.2152,50.2152,-0.682039,0.31,,,,,,,,,,,,,,
345,50.3616,50.3616,-0.659499,0.34,,,,,,,,,,,,,,
346,50.508,50.508,-0.652226,0.33,,,,,,,,,,,,,,
347,50.6544,50.6544,-0.675058,0.27,,,,,,,,,,,,,,
348,50.8008,50.8008,-0.697971,0.22,,,,,,,,,,,,,,
349,50.9472,50.9472,-0.720652,0.18,,,,,,,,,,,,,,
350,51.0936,51.0936,-0.743446,0.14,,,,,,,,,,,,,,
351,51.24,51.24,-0.766209,0.13,,,,,,,,,,,,,,
352,51.3864,51.3864,-0.789026,0.1,,,,,,,,,,,,,,
353,51.5328,51.5328,-0.811582,0.09,,,,,,,,,,,,,,
354,51.6792,51.6792,-0.834395,0.08,,,,,,,,,,,,,,
355,51.8256,51.8256,-0.85706,0.06,,,,,,,,,,,,,,
356,51.972,51.972,-0.879707,0.06,,,,,,,,,,,,,,
357,52.1184,52.1184,-0.902346,0.05,,,,,,,,,,,,,,
358,52.2648,52.2648,-0.924899,0.05,,,,,,,,,,,,,,
359,52.4112,52.4112,-0.947673,0.05,,,,,,,,,,,,,,
360,52.5576,52.5576,-0.970419,0.01,,,,,,,,,,,,,,
361,52.704,52.704,-0.993224,0.03,,,,,,,,,,,,,,
362,52.8504,52.8504,-1.015682,0.01,,,,,,,,,,,,,,
363,52.9968,52.9968,-1.038542,0.03,,,,,,,,,,,,,,
364,53.1432,53.1432,-1.061182,0.01,,,,,,,,,,,,,,
365,53.2896,53.2896,-1.083991,0.03,,,,,,,,,,,,,,
366,53.436,53.436,-1.106554,0.03,,,,,,,,,,,,,,
367,53.5824,53.5824,-1.088344,0.01,,,,,,,,,,,,,,
368,53.7288,53.7288,-1.065458,0.03,,,,,,,,,,,,,,
369,53.8752,53.8752,-1.042933,0.03,,,,,,,,,,,,,,
370,54.0216,54.0216,-1.020185,0.05,,,,,,,,,,,,,,
371,54.168,54.168,-0.99738,0.04,,,,,,,,,,,,,,
372,54.3144,54.3144,-0.974793,0.04,,,,,,,,,,,,,,
373,54.4608,54.4608,-0.952021,0.05,,,,,,,,,,,,,,
374,54.6072,54.6072,-0.929449,0.05,,,,,,,,,,,,,,
375,54.7536,54.7536,-0.906639,0.07,,,,,,,,,,,,,,
376,54.9,54.9,-0.883947,0.07,,,,,,,,,,,,,,
377,55.0464,55.0464,-0.861404,0.08,,,,,,,,,,,,,,
378,55.1928,55.1928,-0.838866,0.1,,,,,,,,,,,,,,
379,55.3392,55.3392,-0.816103,0.12,,,,,,,,,,,,,,
380,55.4856,55.4856,-0.793387,0.14,,,,,,,,,,,,,,
381,55.632,55.632,-0.770649,0.16,,,,,,,,,,,,,,
382,55.7784,55.7784,-0.748086,0.19,,,,,,,,,,,,,,
383,55.9248,55.9248,-0.725347,0.23,,,,,,,,,,,,,,
384,56.0712,56.0712,-0.702678,0.25,,,,,,,,,,,,,,
385,56.2176,56.2176,-0.679969,0.3,,,,,,,,,,,,,,
386,56.364,56.364,-0.657277,0.34,,,,,,,,,,,,,,
387,56.5104,56.5104,-0.654478,0.33,,,,,,,,,,,,,,
388,56.6568,56.6568,-0.677286,0.25,,,,,,,,,,,,,,
389,56.8032,56.8032,-0.700164,0.21,,,,,,,,,,,,,,
390,56.9496,56.9496,-0.722797,0.18,,,,,,,,,,,,,,
391,57.096,57.096,-0.745706,0.14,,,,,,,,,,,,,,
392,57.2424,57.2424,-0.768408,0.13,,,,,,,,,,,,,,
393,57.3888,57.3888,-0.791185,0.09,,,,,,,,,,,,,,
394,57.5352,57.5352,-0.81383,0.08,,,,,,,,,,,,,,
395,57.6816,57.6816,-0.836638,0.06,,,,,,,,,,,,,,
396,57.828,57.828,-0.859338,0.06,,,,,,,,,,,,,,
397,57.9744,57.9744,-0.881973,0.05,,,,,,,,,,,,,,
398,58.1208,58.1208,-0.904448,0.05,,,,,,,,,,,,,,
399,58.2672,58.2672,-0.927281,0.04,,,,,,,,,,,,,,
400,58.4136,58.4136,-0.949926,0.04,,,,,,,,,,,,,,
401,58.56,58.56,-0.97258,0.04,,,,,,,,,,,,,,
402,58.7064,58.7064,-0.995349,0.04,,,,,,,,,,,,,,
403,58.8528,58.8528,-1.017966,0.03,,,,,,,,,,,,,,
404,58.9992,58.9992,-1.040697,0.01,,,,,,,,,,,,,,
405,59.1456,59.1456,-1.063439,0.01,,,,,,,,,,,,,,
406,59.292,59.292,-1.086241,0.03,,,,,,,,,,,,,,
407,59.4384,59.4384,-1.107548,0.04,,,,,,,,,,,,,,
408,59.5848,59.5848,-1.08604,0.04,,,,,,,,,,,,,,
409,59.7312,59.7312,-1.063241,0.01,,,,,,,,,,,,,,
410,59.8776,59.8776,-1.040728,0.03,,,,,,,,,,,,,,
411,60.024,60.024,-1.017918,0.04,,,,,,,,,,,,,,
412,60.1704,60.1704,-0.995226,0.04,,,,,,,,,,,,,,
413,60.3168,60.3168,-0.972453,0.05,,,,,,,,,,,,,,
414,60.4632,60.4632,-0.94989,0.04,,,,,,,,,,,,,,
415,60.6096,60.6096,-0.927286,0.06,,,,,,,,,,,,,,
416,60.756,60.756,-0.904403,0.06,,,,,,,,,,,,,,
417,60.9024,60.9024,-0.881802,0.07,,,,,,,,,,,,,,
418,61.0488,61.0488,-0.859195,0.08,,,,,,,,,,,,,,
419,61.1952,61.1952,-0.836645,0.09,,,,,,,,,,,,,,
420,61.3416,61.3416,-0.813785,0.12,,,,,,,,,,,,,,
421,61.488,61.488,-0.791191,0.14,,,,,,,,,,,,,,
422,61.6344,61.6344,-0.768355,0.16,,,,,,,,,,,,,,
423,61.7808,61.7808,-0.745868,0.19,,,,,,,,,,,,,,
424,61.9272,61.9272,-0.723088,0.21,,,,,,,,,,,,,,
425,62.0736,62.0736,-0.700393,0.25,,,,,,,,,,,,,,
426,62.22,62.22,-0.677644,0.27,,,,,,,,,,,,,,
427,62.3664,62.3664,-0.655077,0.33,,,,,,,,,,,,,,
428,62.5128,62.5128,-0.656686,0.32,,,,,,,,,,,,,,
429,62.6592,62.6592,-0.679451,0.25,,,,,,,,,,,,,,
430,62.8056,62.8056,-0.702327,0.21,,,,,,,,,,,,,,
431,62.952,62.952,-0.724971,0.17,,,,,,,,,,,,,,
432,63.0984,63.0984,-0.74793,0.13,,,,,,,,,,,,,,
433,63.2448,63.2448,-0.770623,0.12,,,,,,,,,,,,,,
434,63.3912,63.3912,-0.793291,0.1,,,,,,,,,,,,,,
435,63.5376,63.5376,-0.816031,0.08,,,,,,,,,,,,,,
436,63.684,63.684,-0.838867,0.08,,,,,,,,,,,,,,
437,63.8304,63.8304,-0.86159,0.06,,,,,,,,,,,,,,
438,63.9768,63.9768,-0.884114,0.05,,,,,,,,,,,,,,
439,64.1232,64.1232,-0.906759,0.05,,,,,,,,,,,,,,
440,64.2696,64.2696,-0.929463,0.04,,,,,,,,,,,,,,
441,64.416,64.416,-0.952218,0.04,,,,,,,,,,,,,,
442,64.5624,64.5624,-0.974856,0.04,,,,,,,,,,,,,,
443,64.7088,64.7088,-0.997557,0.04,,,,,,,,,,,,,,
444,64.8552,64.8552,-1.020109,0.03,,,,,,,,,,,,,,
445,65.0016,65.0016,-1.042995,0.04,,,,,,,,,,,,,,
446,65.148,65.148,-1.065667,0.03,,,,,,,,,,,,,,
447,65.2944,65.2944,-1.08842,0.03,,,,,,,,,,,,,,
448,65.4408,65.4408,-1.106044,0.01,,,,,,,,,,,,,,
449,65.5872,65.5872,-1.083865,0.03,,,,,,,,,,,,,,
450,65.7336,65.7336,-1.061137,0.03,,,,,,,,,,,,,,
451,65.88,65.88,-1.03852,0.03,,,,,,,,,,,,,,
452,66.0264,66.0264,-1.01559,0.04,,,,,,,,,,,,,,
453,66.1728,66.1728,-0.99295,0.05,,,,,,,,,,,,,,
454,66.3192,66.3192,-0.970223,0.05,,,,,,,,,,,,,,
455,66.4656,66.4656,-0.947619,0.05,,,,,,,,,,,,,,
456,66.612,66.612,-0.924847,0.06,,,,,,,,,,,,,,
457,66.7584,66.7584,-0.902179,0.07,,,,,,,,,,,,,,
458,66.9048,66.9048,-0.879533,0.08,,,,,,,,,,,,,,
459,67.0512,67.0512,-0.857028,0.08,,,,,,,,,,,,,,
460,67.1976,67.1976,-0.834384,0.1,,,,,,,,,,,,,,
461,67.344,67.344,-0.811539,0.12,,,,,,,,,,,,,,
462,67.4904,67.4904,-0.788933,0.14,,,,,,,,,,,,,,
463,67.6368,67.6368,-0.76615,0.16,,,,,,,,,,,,,,
464,67.7832,67.7832,-0.743619,0.19,,,,,,,,,,,,,,
465,67.9296,67.9296,-0.720825,0.22,,,,,,,,,,,,,,
466,68.076,68.076,-0.698213,0.25,,,,,,,,,,,,,,
467,68.2224,68.2224,-0.675437,0.29,,,,,,,,,,,,,,
468,68.3688,68.3688,-0.652953,0.33,,,,,,,,,,,,,,
469,68.5152,68.5152,-0.659008,0.3,,,,,,,,,,,,,,
470,68.6616,68.6616,-0.681731,0.24,,,,,,,,,,,,,,
471,68.808,68.808,-0.704618,0.19,,,,,,,,,,,,,,
472,68.9544,68.9544,-0.727291,0.16,,,,,,,,,,,,,,
473,69.1008,69.1008,-0.750194,0.13,,,,,,,,,,,,,,
474,69.2472,69.2472,-0.772816,0.12,,,,,,,,,,,,,,
475,69.3936,69.3936,-0.79561,0.09,,,,,,,,,,,,,,
476,69.54,69.54,-0.818237,0.08,,,,,,,,,,,,,,
477,69.6864,69.6864,-0.841182,0.06,,,,,,,,,,,,,,
478,69.8328,69.8328,-0.863767,0.05,,,,,,,,,,,,,,
479,69.9792,69.9792,-0.886261,0.05,,,,,,,,,,,,,,
480,70.1256,70.1256,-0.908928,0.05,,,,,,,,,,,,,,
481,70.272,70.272,-0.931762,0.05,,,,,,,,,,,,,,
482,70.4184,70.4184,-0.954416,0.04,,,,,,,,,,,,,,
483,70.5648,70.5648,-0.977148,0.04,,,,,,,,,,,,,,
484,70.7112,70.7112,-0.999775,0.03,,,,,,,,,,,,,,
485,70.8576,70.8576,-1.022365,0.03,,,,,,,,,,,,,,
486,71.004,71.004,-1.045312,0.03,,,,,,,,,,,,,,
487,71.1504,71.1504,-1.067864,0.03,,,,,,,,,,,,,,
488,71.2968,71.2968,-1.090611,0.01,,,,,,,,,,,,,,
489,71.4432,71.4432,-1.104058,0.01,,,,,,,,,,,,,,
