From	To	Species	Gene Name
205941_S_AT	COL10A1	Homo sapiens	collagen type X alpha 1 chain(COL10A1)
213106_AT	ATP8A1	Homo sapiens	ATPase phospholipid transporting 8A1(ATP8A1)
216950_S_AT	FCGR1CP	Homo sapiens	Fc gamma receptor Ic, pseudogene(FCGR1CP)
235086_AT	THBS1	Homo sapiens	thrombospondin 1(THBS1)
209355_S_AT	PLPP3	Homo sapiens	phospholipid phosphatase 3(PLPP3)
205988_AT	CD84	Homo sapiens	CD84 molecule(CD84)
203295_S_AT	ATP1A2	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 2(ATP1A2)
203761_AT	SLA	Homo sapiens	Src like adaptor(SLA)
225799_AT	CYTOR	Homo sapiens	cytoskeleton regulator RNA(CYTOR)
224049_AT	KCNK17	Homo sapiens	potassium two pore domain channel subfamily K member 17(KCNK17)
220088_AT	C5AR1	Homo sapiens	complement C5a receptor 1(C5AR1)
209869_AT	ADRA2A	Homo sapiens	adrenoceptor alpha 2A(ADRA2A)
232874_AT	DOCK9	Homo sapiens	dedicator of cytokinesis 9(DOCK9)
214768_X_AT	IGKV2D-28	Homo sapiens	immunoglobulin kappa variable 2D-28(IGKV2D-28)
241981_AT	FAM20A	Homo sapiens	FAM20A golgi associated secretory pathway pseudokinase(FAM20A)
228195_AT	C2orf88	Homo sapiens	chromosome 2 open reading frame 88(C2orf88)
202036_S_AT	SFRP1	Homo sapiens	secreted frizzled related protein 1(SFRP1)
229004_AT	ADAMTS15	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 15(ADAMTS15)
219935_AT	ADAMTS5	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 5(ADAMTS5)
230670_AT	IGSF10	Homo sapiens	immunoglobulin superfamily member 10(IGSF10)
229245_AT	PLEKHA6	Homo sapiens	pleckstrin homology domain containing A6(PLEKHA6)
226197_AT	AR	Homo sapiens	androgen receptor(AR)
206068_S_AT	ACADL	Homo sapiens	acyl-CoA dehydrogenase long chain(ACADL)
217177_S_AT	PTPRB	Homo sapiens	protein tyrosine phosphatase receptor type B(PTPRB)
213193_X_AT	TRBV19	Homo sapiens	T cell receptor beta variable 19(TRBV19)
215379_X_AT	IGLL5	Homo sapiens	immunoglobulin lambda like polypeptide 5(IGLL5)
226219_AT	ARHGAP30	Homo sapiens	Rho GTPase activating protein 30(ARHGAP30)
228653_AT	SAMD5	Homo sapiens	sterile alpha motif domain containing 5(SAMD5)
207264_AT	KDELR3	Homo sapiens	KDEL endoplasmic reticulum protein retention receptor 3(KDELR3)
234366_X_AT	IGLV@	Homo sapiens	immunoglobulin lambda variable cluster(IGLV@)
214866_AT	PLAUR	Homo sapiens	plasminogen activator, urokinase receptor(PLAUR)
214602_AT	COL4A4	Homo sapiens	collagen type IV alpha 4 chain(COL4A4)
235591_AT	SSTR1	Homo sapiens	somatostatin receptor 1(SSTR1)
209686_AT	S100B	Homo sapiens	S100 calcium binding protein B(S100B)
214836_X_AT	IGKV1-5	Homo sapiens	immunoglobulin kappa variable 1-5(IGKV1-5)
223423_AT	GPR160	Homo sapiens	G protein-coupled receptor 160(GPR160)
206007_AT	PRG4	Homo sapiens	proteoglycan 4(PRG4)
216452_AT	TRPM3	Homo sapiens	transient receptor potential cation channel subfamily M member 3(TRPM3)
234884_X_AT	CYAT1	Homo sapiens	immunoglobulin lambda light chain-like(CYAT1)
225571_AT	LIFR	Homo sapiens	LIF receptor subunit alpha(LIFR)
219385_AT	SLAMF8	Homo sapiens	SLAM family member 8(SLAMF8)
213502_X_AT	GUSBP11	Homo sapiens	GUSB pseudogene 11(GUSBP11)
201858_S_AT	SRGN	Homo sapiens	serglycin(SRGN)
202206_AT	ARL4C	Homo sapiens	ADP ribosylation factor like GTPase 4C(ARL4C)
205267_AT	POU2AF1	Homo sapiens	POU class 2 homeobox associating factor 1(POU2AF1)
205542_AT	STEAP1	Homo sapiens	STEAP family member 1(STEAP1)
206478_AT	FAM30A	Homo sapiens	family with sequence similarity 30 member A(FAM30A)
219869_S_AT	SLC39A8	Homo sapiens	solute carrier family 39 member 8(SLC39A8)
1554741_S_AT	FGF7	Homo sapiens	fibroblast growth factor 7(FGF7)
210423_S_AT	SLC11A1	Homo sapiens	solute carrier family 11 member 1(SLC11A1)
206111_AT	RNASE2	Homo sapiens	ribonuclease A family member 2(RNASE2)
229635_AT	LINC01094	Homo sapiens	long intergenic non-protein coding RNA 1094(LINC01094)
230577_AT	LINC00844	Homo sapiens	long intergenic non-protein coding RNA 844(LINC00844)
223640_AT	HCST	Homo sapiens	hematopoietic cell signal transducer(HCST)
208937_S_AT	ID1	Homo sapiens	inhibitor of DNA binding 1, HLH protein(ID1)
209469_AT	GPM6A	Homo sapiens	glycoprotein M6A(GPM6A)
204638_AT	ACP5	Homo sapiens	acid phosphatase 5, tartrate resistant(ACP5)
212998_X_AT	HLA-DQB1	Homo sapiens	major histocompatibility complex, class II, DQ beta 1(HLA-DQB1)
208146_S_AT	CPVL	Homo sapiens	carboxypeptidase vitellogenic like(CPVL)
223767_AT	GPR84	Homo sapiens	G protein-coupled receptor 84(GPR84)
215806_X_AT	TARP	Homo sapiens	TCR gamma alternate reading frame protein(TARP)
1555349_A_AT	ITGB2	Homo sapiens	integrin subunit beta 2(ITGB2)
228307_AT	EMILIN3	Homo sapiens	elastin microfibril interfacer 3(EMILIN3)
236034_AT	ANGPT2	Homo sapiens	angiopoietin 2(ANGPT2)
232313_AT	TMEM132C	Homo sapiens	transmembrane protein 132C(TMEM132C)
204755_X_AT	HLF	Homo sapiens	HLF transcription factor, PAR bZIP family member(HLF)
243366_S_AT	ITGA4	Homo sapiens	integrin subunit alpha 4(ITGA4)
210321_AT	GZMH	Homo sapiens	granzyme H(GZMH)
223869_AT	SOST	Homo sapiens	sclerostin(SOST)
223737_X_AT	CHST9	Homo sapiens	carbohydrate sulfotransferase 9(CHST9)
202803_S_AT	ITGB2	Homo sapiens	integrin subunit beta 2(ITGB2)
226506_AT	THSD4	Homo sapiens	thrombospondin type 1 domain containing 4(THSD4)
1554899_S_AT	FCER1G	Homo sapiens	Fc epsilon receptor Ig(FCER1G)
207277_AT	CD209	Homo sapiens	CD209 molecule(CD209)
215223_S_AT	SOD2-OT1	Homo sapiens	SOD2 overlapping transcript 1(SOD2-OT1)
204430_S_AT	SLC2A5	Homo sapiens	solute carrier family 2 member 5(SLC2A5)
226415_AT	VAT1L	Homo sapiens	vesicle amine transport 1 like(VAT1L)
1560396_AT	KLHL6	Homo sapiens	kelch like family member 6(KLHL6)
230645_AT	FRMD3	Homo sapiens	FERM domain containing 3(FRMD3)
204320_AT	COL11A1	Homo sapiens	collagen type XI alpha 1 chain(COL11A1)
211643_X_AT	IGKC	Homo sapiens	immunoglobulin kappa constant(IGKC)
211429_S_AT	SERPINA1	Homo sapiens	serpin family A member 1(SERPINA1)
216207_X_AT	IGKV1D-13	Homo sapiens	immunoglobulin kappa variable 1D-13(IGKV1D-13)
1559584_A_AT	C16orf54	Homo sapiens	chromosome 16 open reading frame 54(C16orf54)
203680_AT	PRKAR2B	Homo sapiens	protein kinase cAMP-dependent type II regulatory subunit beta(PRKAR2B)
205242_AT	CXCL13	Homo sapiens	C-X-C motif chemokine ligand 13(CXCL13)
205943_AT	TDO2	Homo sapiens	tryptophan 2,3-dioxygenase(TDO2)
205066_S_AT	ENPP1	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase 1(ENPP1)
229464_AT	MYEF2	Homo sapiens	myelin expression factor 2(MYEF2)
201720_S_AT	LAPTM5	Homo sapiens	lysosomal protein transmembrane 5(LAPTM5)
227420_AT	TNFAIP8L1	Homo sapiens	TNF alpha induced protein 8 like 1(TNFAIP8L1)
217022_S_AT	IGH	Homo sapiens	immunoglobulin heavy locus(IGH)
202856_S_AT	SLC16A3	Homo sapiens	solute carrier family 16 member 3(SLC16A3)
228964_AT	PRDM1	Homo sapiens	PR/SET domain 1(PRDM1)
226804_AT	FAM20A	Homo sapiens	FAM20A golgi associated secretory pathway pseudokinase(FAM20A)
1554242_A_AT	COCH	Homo sapiens	cochlin(COCH)
212843_AT	NCAM1	Homo sapiens	neural cell adhesion molecule 1(NCAM1)
211796_S_AT	TRBV19	Homo sapiens	T cell receptor beta variable 19(TRBV19)
241703_AT	RUNDC3B	Homo sapiens	RUN domain containing 3B(RUNDC3B)
213539_AT	CD3D	Homo sapiens	CD3 delta subunit of T-cell receptor complex(CD3D)
209924_AT	CCL18	Homo sapiens	C-C motif chemokine ligand 18(CCL18)
219403_S_AT	HPSE	Homo sapiens	heparanase(HPSE)
229580_AT	CLSTN2	Homo sapiens	calsyntenin 2(CLSTN2)
206121_AT	AMPD1	Homo sapiens	adenosine monophosphate deaminase 1(AMPD1)
209613_S_AT	ADH1B	Homo sapiens	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)
244043_AT	TFDP2	Homo sapiens	transcription factor Dp-2(TFDP2)
207370_AT	IBSP	Homo sapiens	integrin binding sialoprotein(IBSP)
203936_S_AT	MMP9	Homo sapiens	matrix metallopeptidase 9(MMP9)
205623_AT	ALDH3A1	Homo sapiens	aldehyde dehydrogenase 3 family member A1(ALDH3A1)
219867_AT	CHODL	Homo sapiens	chondrolectin(CHODL)
221646_S_AT	ZDHHC11B	Homo sapiens	zinc finger DHHC-type containing 11B(ZDHHC11B)
206214_AT	PLA2G7	Homo sapiens	phospholipase A2 group VII(PLA2G7)
214467_AT	GPR65	Homo sapiens	G protein-coupled receptor 65(GPR65)
201721_S_AT	LAPTM5	Homo sapiens	lysosomal protein transmembrane 5(LAPTM5)
208850_S_AT	THY1	Homo sapiens	Thy-1 cell surface antigen(THY1)
207496_AT	MS4A2	Homo sapiens	membrane spanning 4-domains A2(MS4A2)
221601_S_AT	FCMR	Homo sapiens	Fc mu receptor(FCMR)
235751_S_AT	VMO1	Homo sapiens	vitelline membrane outer layer 1 homolog(VMO1)
210292_S_AT	PCDH11X	Homo sapiens	protocadherin 11 X-linked(PCDH11X)
204122_AT	TYROBP	Homo sapiens	transmembrane immune signaling adaptor TYROBP(TYROBP)
201890_AT	RRM2	Homo sapiens	ribonucleotide reductase regulatory subunit M2(RRM2)
223503_AT	TMEM163	Homo sapiens	transmembrane protein 163(TMEM163)
209138_X_AT	IGLJ3	Homo sapiens	immunoglobulin lambda joining 3(IGLJ3)
240572_S_AT	LOC374443	Homo sapiens	C-type lectin domain family 2 member D pseudogene(LOC374443)
205229_S_AT	COCH	Homo sapiens	cochlin(COCH)
204470_AT	CXCL1	Homo sapiens	C-X-C motif chemokine ligand 1(CXCL1)
204959_AT	MNDA	Homo sapiens	myeloid cell nuclear differentiation antigen(MNDA)
203932_AT	HLA-DMB	Homo sapiens	major histocompatibility complex, class II, DM beta(HLA-DMB)
201976_S_AT	MYO10	Homo sapiens	myosin X(MYO10)
229271_X_AT	COL11A1	Homo sapiens	collagen type XI alpha 1 chain(COL11A1)
219890_AT	CLEC5A	Homo sapiens	C-type lectin domain containing 5A(CLEC5A)
209396_S_AT	CHI3L1	Homo sapiens	chitinase 3 like 1(CHI3L1)
218404_AT	SNX10	Homo sapiens	sorting nexin 10(SNX10)
232543_X_AT	ARHGAP9	Homo sapiens	Rho GTPase activating protein 9(ARHGAP9)
210168_AT	C6	Homo sapiens	complement C6(C6)
227863_AT	IFITM10	Homo sapiens	interferon induced transmembrane protein 10(IFITM10)
225166_AT	ARHGAP18	Homo sapiens	Rho GTPase activating protein 18(ARHGAP18)
227725_AT	ST6GALNAC1	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1(ST6GALNAC1)
211668_S_AT	PLAU	Homo sapiens	plasminogen activator, urokinase(PLAU)
240211_AT	APCDD1	Homo sapiens	APC down-regulated 1(APCDD1)
204580_AT	MMP12	Homo sapiens	matrix metallopeptidase 12(MMP12)
