From	To	Species	Gene Name
221671_X_AT	IGKV1-5	Homo sapiens	immunoglobulin kappa variable 1-5(IGKV1-5)
1405_I_AT	CCL5	Homo sapiens	C-C motif chemokine ligand 5(CCL5)
214470_AT	KLRB1	Homo sapiens	killer cell lectin like receptor B1(KLRB1)
219791_S_AT	HAND2-AS1	Homo sapiens	HAND2 antisense RNA 1(HAND2-AS1)
212311_AT	SEL1L3	Homo sapiens	SEL1L family member 3(SEL1L3)
202207_AT	ARL4C	Homo sapiens	ADP ribosylation factor like GTPase 4C(ARL4C)
229839_AT	SCARA5	Homo sapiens	scavenger receptor class A member 5(SCARA5)
230538_AT	SHC4	Homo sapiens	SHC adaptor protein 4(SHC4)
216005_AT	TNC	Homo sapiens	tenascin C(TNC)
226003_AT	KIF21A	Homo sapiens	kinesin family member 21A(KIF21A)
201286_AT	SDC1	Homo sapiens	syndecan 1(SDC1)
34210_AT	CD52	Homo sapiens	CD52 molecule(CD52)
244419_AT	FRZB	Homo sapiens	frizzled related protein(FRZB)
229070_AT	ADTRP	Homo sapiens	androgen dependent TFPI regulating protein(ADTRP)
242943_AT	ST8SIA4	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4(ST8SIA4)
216474_X_AT	TPSB2	Homo sapiens	tryptase beta 2(TPSB2)
242641_AT	COL6A6	Homo sapiens	collagen type VI alpha 6 chain(COL6A6)
232687_AT	GPRIN3	Homo sapiens	GPRIN family member 3(GPRIN3)
235735_AT	TNFSF8	Homo sapiens	TNF superfamily member 8(TNFSF8)
203021_AT	SLPI	Homo sapiens	secretory leukocyte peptidase inhibitor(SLPI)
202833_S_AT	SERPINA1	Homo sapiens	serpin family A member 1(SERPINA1)
212741_AT	MAOA	Homo sapiens	monoamine oxidase A(MAOA)
202878_S_AT	CD93	Homo sapiens	CD93 molecule(CD93)
203824_AT	TSPAN8	Homo sapiens	tetraspanin 8(TSPAN8)
209267_S_AT	SLC39A8	Homo sapiens	solute carrier family 39 member 8(SLC39A8)
228504_AT	SCN7A	Homo sapiens	sodium voltage-gated channel alpha subunit 7(SCN7A)
202859_X_AT	CXCL8	Homo sapiens	C-X-C motif chemokine ligand 8(CXCL8)
228489_AT	TM4SF18	Homo sapiens	transmembrane 4 L six family member 18(TM4SF18)
224404_S_AT	FCRL5	Homo sapiens	Fc receptor like 5(FCRL5)
223843_AT	SCARA3	Homo sapiens	scavenger receptor class A member 3(SCARA3)
203001_S_AT	STMN2	Homo sapiens	stathmin 2(STMN2)
209875_S_AT	SPP1	Homo sapiens	secreted phosphoprotein 1(SPP1)
213904_AT	FRRS1L	Homo sapiens	ferric chelate reductase 1 like(FRRS1L)
222073_AT	COL4A3	Homo sapiens	collagen type IV alpha 3 chain(COL4A3)
229560_AT	TLR8	Homo sapiens	toll like receptor 8(TLR8)
233177_S_AT	PNKD	Homo sapiens	PNKD metallo-beta-lactamase domain containing(PNKD)
211430_S_AT	IGHV4-31	Homo sapiens	immunoglobulin heavy variable 4-31(IGHV4-31)
223553_S_AT	DOK3	Homo sapiens	docking protein 3(DOK3)
217078_S_AT	CD300A	Homo sapiens	CD300a molecule(CD300A)
211868_X_AT	IGHV4-31	Homo sapiens	immunoglobulin heavy variable 4-31(IGHV4-31)
231980_AT	DOK6	Homo sapiens	docking protein 6(DOK6)
217378_X_AT	IGKV1OR2-108	Homo sapiens	immunoglobulin kappa variable 1/OR2-108 (non-functional)(IGKV1OR2-108)
230748_AT	SLC16A6	Homo sapiens	solute carrier family 16 member 6(SLC16A6)
232224_AT	MASP1	Homo sapiens	MBL associated serine protease 1(MASP1)
226213_AT	ERBB3	Homo sapiens	erb-b2 receptor tyrosine kinase 3(ERBB3)
204951_AT	RHOH	Homo sapiens	ras homolog family member H(RHOH)
225864_AT	LRATD2	Homo sapiens	LRAT domain containing 2(LRATD2)
224795_X_AT	IGKV1-5	Homo sapiens	immunoglobulin kappa variable 1-5(IGKV1-5)
204416_X_AT	APOC1	Homo sapiens	apolipoprotein C1(APOC1)
222772_AT	MYEF2	Homo sapiens	myelin expression factor 2(MYEF2)
219117_S_AT	FKBP11	Homo sapiens	FKBP prolyl isomerase 11(FKBP11)
205098_AT	CCR1	Homo sapiens	C-C motif chemokine receptor 1(CCR1)
