C:\BMES301_Data\2015-04-15\e2_L062_g2_s3 04152015 024137_std.CSV 


Created ,4/15/2015,2:41:37 PM
Exported,4/15/2015,2:41:50 PM

Channels
Disp,Load,Load 2,Ch 3,Ch 4,Temperature,DirCmd A,UserCalc1,E11,E12,E22,PS1,PS2,Axial cmd,Axial err,Axial drv,Temp cmd,Temp err,Temp drv,

Units
mm,N,N,V,V,C,V,V,%,%,%,%,%,mm,%,%,C,%,%,

Movers
Axial,Temp,

Workspace Unsecure

_______________________________________________________________________________________
****Waveform Information is written at start of Data Acquisition, not start of waveform.****

Axial,Block,Step:1,Ramp,Control Channel Disp,Level: 5.000000,Rate: 0.793000,
Temp,Sine Wave,Control Channel Temperature,Level1: 2.0,Level2: 2.0,Frequency: 1.0,Cycles: 1000000,Start Frequency: 1.0,Done Frequency: 1.0,Done Level: 0.0,
_______________________________________________________________________________________


_______________________________________________________________________________________
****Tuning Parameters.****

Axial,Control Channel Disp,TuneIQ Mode ,TuneIQ1: 0.6310206,TuneIQ2: 0.0085844,TuneIQ3: -2.5804174,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
Axial,Control Channel Load,TuneIQ Mode ,TuneIQ1: 0.0414904,TuneIQ2: 0.0289848,TuneIQ3: 0.0000000,TuneIQ4: 200.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
Axial,Control Channel Load 2,TuneIQ Mode ,TuneIQ1: 0.0000000,TuneIQ2: 0.0001000,TuneIQ3: 0.0000000,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
Axial,Control Channel DirCmd A,Manual Tune Mode,PTerm: 1.0000000,ITerm: 0.0000000,DTerm: 0.0000000,OTerm: 0,
Temp,Control Channel Temperature,TuneIQ Mode ,TuneIQ1: 0.0000000,TuneIQ2: 0.0001000,TuneIQ3: 0.0000000,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,
_______________________________________________________________________________________

_______________________________________________________________________________________

Axial Counts,0
"Points","Elapsed Time","Scan Time","Disp","Load",
"","Sec","Sec","mm","N",
1,0.0000,0.0000,0.000372,0.05,
2,0.1464,0.1464,0.004162,0.08,
3,0.2928,0.2928,0.000502,0.08,
4,0.4392,0.4392,-0.003435,0.05,
5,0.5856,0.5856,0.000714,0.07,
6,0.7320,0.7320,0.003981,0.07,
7,0.8784,0.8784,0.003081,0.06,
8,1.0248,1.0248,-0.003231,0.07,
9,1.1712,1.1712,-0.001021,0.06,
10,1.3176,1.3176,0.004141,0.08,
11,1.4640,1.4640,-0.002141,0.05,
12,1.6104,1.6104,-0.003503,0.05,
13,1.7568,1.7568,0.001673,0.07,
14,1.9032,1.9032,0.003626,0.06,
15,2.0496,2.0496,-0.002649,0.05,
16,2.1960,2.1960,-0.000597,0.06,
17,2.3424,2.3424,0.003910,0.05,
18,2.4888,2.4888,0.002795,0.05,
19,2.6352,2.6352,-0.003512,0.05,
20,2.7816,2.7816,0.000914,0.05,
21,2.9280,2.9280,0.004176,0.07,
22,3.0744,3.0744,0.000400,0.06,
23,3.2208,3.2208,-0.003536,0.05,
24,3.3672,3.3672,-0.000390,0.05,
25,3.5136,3.5136,0.004229,0.05,
26,3.6600,3.6600,-0.001724,0.05,
27,3.8064,3.8064,-0.002171,0.05,
28,3.9528,3.9528,0.003385,0.06,
29,4.0992,4.0992,0.002738,0.05,
30,4.2456,4.2456,-0.001864,0.05,
31,4.3920,4.3920,-0.003456,0.05,
32,4.5384,4.5384,0.000703,0.07,
33,4.6848,4.6848,0.003859,0.06,
34,4.8312,4.8312,-0.001087,0.06,
35,4.9776,4.9776,-0.003372,0.05,
36,5.1240,5.1240,0.002779,0.06,
37,5.2704,5.2704,0.003594,0.05,
38,5.4168,5.4168,-0.001866,0.06,
39,5.5632,5.5632,-0.002195,0.06,
40,5.7096,5.7096,0.003783,0.07,
41,5.8560,5.8560,0.002365,0.07,
42,6.0024,6.0024,-0.003667,0.05,
43,6.1488,6.1488,-0.001070,0.05,
44,6.2952,6.2952,0.003820,0.05,
45,6.4416,6.4416,0.086369,0.15,
46,6.5880,6.5880,0.202645,0.27,
47,6.7344,6.7344,0.318933,0.42,
48,6.8808,6.8808,0.435177,0.60,
49,7.0272,7.0272,0.551028,0.78,
50,7.1736,7.1736,0.667092,0.99,
51,7.3200,7.3200,0.782999,1.18,
52,7.4664,7.4664,0.899088,1.44,
53,7.6128,7.6128,1.015175,1.72,
54,7.7592,7.7592,1.131255,2.00,
55,7.9056,7.9056,1.247411,2.31,
56,8.0520,8.0520,1.363402,2.60,
57,8.1984,8.1984,1.479635,2.91,
58,8.3448,8.3448,1.595529,3.23,
59,8.4912,8.4912,1.711526,3.52,
60,8.6376,8.6376,1.827794,3.80,
61,8.7840,8.7840,1.943637,4.02,
62,8.9304,8.9304,2.059608,4.33,
63,9.0768,9.0768,2.176041,4.61,
64,9.2232,9.2232,2.292184,4.80,
65,9.3696,9.3696,2.408043,5.01,
66,9.5160,9.5160,2.524029,5.25,
67,9.6624,9.6624,2.640452,5.41,
68,9.8088,9.8088,2.758835,5.07,
69,9.9552,9.9552,2.874950,3.99,
70,10.1016,10.1016,2.989393,3.66,
71,10.2480,10.2480,3.105359,3.48,
72,10.3944,10.3944,3.221078,3.32,
73,10.5408,10.5408,3.337157,3.21,
74,10.6872,10.6872,3.452929,3.05,
75,10.8336,10.8336,3.568780,3.00,
76,10.9800,10.9800,3.684408,2.99,
77,11.1264,11.1264,3.800585,2.97,
78,11.2728,11.2728,3.916581,2.94,
